Movie Number,Movie Title,Movie Url,Date,Length,Genre,IMDb Rating,Filtered Genre,year,Int Length
7619,Cops and Robbers,http://www.imdb.com/title/tt0069919/,17 August 1973,1h 29min,"['Crime', 'Comedy']",6.4,Comedy,1973.0,89
7628,Marathon,http://www.imdb.com/title/tt0448621/,27 January 2005,1h 57min,"['Biography', 'Drama', 'Sport']",7.8,Documentary/Biography,2005.0,117
7641,Technotise: Edit & I,http://www.imdb.com/title/tt1372301/,8 April 2009,1h 40min,"['Animation', 'Drama', 'Sci-Fi']",7.5,Sci-Fi/Fantasy,2009.0,100
7648,High Tide,http://www.imdb.com/title/tt0095305/,30 July 1987,1h 41min,['Drama'],7.3,Drama,1987.0,101
7653,Thieves,http://www.imdb.com/title/tt0076815/,29 May 1978,1h 32min,"['Comedy', 'Drama', 'Romance']",5.3,RomCom,1978.0,92
7663,Best Day Ever: Aiden Kesler 1994-2011,http://www.imdb.com/title/tt1830497/,,1h 18min,"['Comedy', 'Drama']",6.1,Comedy,,78
7682,American Gangster,http://www.imdb.com/title/tt0765429/,2 November 2007,2h 37min,"['Biography', 'Crime', 'Drama']",7.8,Documentary/Biography,2007.0,157
7715,Mask,http://www.imdb.com/title/tt0089560/,22 March 1985,2h,"['Biography', 'Drama']",7.2,Documentary/Biography,1985.0,120
7730,October Sky,http://www.imdb.com/title/tt0132477/,19 February 1999,1h 48min,"['Biography', 'Drama', 'Family']",7.8,Documentary/Biography,1999.0,108
7741,Patch Adams,http://www.imdb.com/title/tt0129290/,25 December 1998,1h 55min,"['Biography', 'Comedy', 'Drama']",6.7,Documentary/Biography,1998.0,115
7742,Men of Honor,http://www.imdb.com/title/tt0203019/,10 November 2000,2h 9min,"['Biography', 'Drama']",7.2,Documentary/Biography,2000.0,129
7746,Bloodsport,http://www.imdb.com/title/tt0092675/,29 April 1988,1h 32min,"['Action', 'Biography', 'Drama']",6.8,Documentary/Biography,1988.0,92
7750,Girl with a Pearl Earring,http://www.imdb.com/title/tt0335119/,30 January 2004,1h 40min,"['Biography', 'Drama', 'Romance']",7.0,Documentary/Biography,2004.0,100
7759,Captain Phillips,http://www.imdb.com/title/tt1535109/,11 October 2013,2h 14min,"['Biography', 'Drama', 'Thriller']",7.8,Documentary/Biography,2013.0,134
7765,Factory Girl,http://www.imdb.com/title/tt0432402/,16 February 2007,1h 30min,"['Biography', 'Drama']",6.4,Documentary/Biography,2007.0,90
7796,Pollock,http://www.imdb.com/title/tt0183659/,23 March 2001,2h 2min,"['Biography', 'Drama']",7.0,Documentary/Biography,2001.0,122
7807,Into the Wild,http://www.imdb.com/title/tt0758758/,19 October 2007,2h 28min,"['Adventure', 'Biography', 'Drama']",8.1,Documentary/Biography,2007.0,148
7809,The Devil's Double,http://www.imdb.com/title/tt1270262/,8 September 2011,1h 49min,"['Biography', 'Drama', 'Thriller']",7.1,Documentary/Biography,2011.0,109
7820,Private Parts,http://www.imdb.com/title/tt0119951/,7 March 1997,1h 49min,"['Biography', 'Comedy', 'Drama']",6.8,Documentary/Biography,1997.0,109
7830,Mission to Lars,http://www.imdb.com/title/tt1865450/,25 September 2015,1h 14min,"['Documentary', 'Adventure', 'Biography']",6.7,Documentary/Biography,2015.0,74
7833,Marley,http://www.imdb.com/title/tt1183919/,20 April 2012,2h 24min,"['Documentary', 'Biography', 'Music']",8.0,Documentary/Biography,2012.0,144
7838,Counterpunch,http://www.imdb.com/title/tt2051850/,2014,1h 37min,"['Action', 'Biography', 'Drama']",5.1,Documentary/Biography,2014.0,97
7856,Beyond the Sea,http://www.imdb.com/title/tt0363473/,29 December 2004,1h 58min,"['Biography', 'Drama', 'Music']",6.7,Documentary/Biography,2004.0,118
7872,The Odessa File,http://www.imdb.com/title/tt0071935/,18 October 1974,2h 10min,"['Drama', 'Thriller']",7.0,Drama,1974.0,130
7886,Topsy-Turvy,http://www.imdb.com/title/tt0151568/,11 February 2000,2h 34min,"['Biography', 'Comedy', 'Drama']",7.4,Documentary/Biography,2000.0,154
7891,Permanent Midnight,http://www.imdb.com/title/tt0120788/,23 April 1999,1h 28min,"['Biography', 'Drama', 'Romance']",6.3,Documentary/Biography,1999.0,88
